file	energy	H-bond
md_410k_snap_1.com	-781.6799834194464	N83-H88_O47,O1-H123_O89,O48-H127_O79
md_410k_snap_2.com	-782.4199135755441	N83-H88_O47,O1-H123_O89,O48-H127_O79
md_410k_snap_3.com	-782.535557808367	N83-H88_O47,O1-H123_O89,O48-H127_O79
md_410k_snap_4.com	-782.4070105981242	N83-H88_O47,O1-H123_O89,O48-H127_O79
md_410k_snap_5.com	-780.2577661129934	N83-H88_O47,O1-H123_O47,O48-H127_O79
md_410k_snap_6.com	-779.814805163274	O1-H123_O47,O48-H127_O79
md_410k_snap_7.com	-781.1281523221543	N83-H88_O47,O1-H123_O47,O48-H127_O79
md_410k_snap_8.com	-780.979938619946	N83-H88_O47,O1-H123_O47,O48-H127_O79
md_410k_snap_9.com	-781.1706284214313	N83-H88_O47,O1-H123_O47,O48-H127_O79
md_410k_snap_10.com	-780.9489696946176	N83-H88_O47,O1-H123_O47,O48-H127_O79
md_410k_snap_11.com	-781.3283933616261	N83-H88_O47,O1-H123_O47,O48-H127_O79
md_410k_snap_12.com	-781.4244956961304	O1-H123_O47,O48-H127_O79
md_410k_snap_13.com	-779.6090381273499	O1-H123_O47,O48-H127_O79
md_410k_snap_14.com	-781.0287326388606	O1-H123_O47,O1-H123_O89,O48-H127_O79
md_410k_snap_15.com	-777.1301685329519	O1-H123_O89,O48-H127_O79
md_410k_snap_16.com	-781.6698700247554	O1-H123_O89
md_410k_snap_17.com	-782.0249507822548	O1-H123_O89
md_410k_snap_18.com	-781.6266345617986	O1-H123_O89
md_410k_snap_19.com	-781.6501929056392	O1-H123_O89
md_410k_snap_20.com	-781.6326409143895	O1-H123_O89
md_410k_snap_21.com	-780.274508120535	O1-H123_O89
md_410k_snap_22.com	-781.4193020194734	O1-H123_O89
md_410k_snap_23.com	-781.3889790023289	O1-H123_O89
md_410k_snap_24.com	-782.1020120735267	O1-H123_O89
md_410k_snap_25.com	-782.0742694242381	O1-H123_O89
md_410k_snap_26.com	-782.0514314729847	O1-H123_O89
md_410k_snap_27.com	-783.0181356262342	O1-H123_O89
md_410k_snap_28.com	-782.330555493207	O1-H123_O89
md_410k_snap_29.com	-782.1434639717971	O1-H123_O89
md_410k_snap_30.com	-783.5291486840821	O1-H123_O89
md_410k_snap_31.com	-782.731132238567	O1-H123_O89
md_410k_snap_32.com	-782.7958082001469	N83-H88_O1,O1-H123_O47
md_410k_snap_33.com	-782.7513061322131	N83-H88_O1,O1-H123_O47
