file	energy	cluster	hb_id	H-bond
md_410k_snap_71.com	-796.6222729582242	0	3	N120-H122_N25,N25-H26_O89,N83-H88_N115,O1-H123_O47,O1-H123_O87
md_410k_snap_69.com	-794.9584413776018	0	4	N120-H122_N25,N25-H26_O89,O1-H123_O87
md_410k_snap_70.com	-794.9175630686949	0	4	N120-H122_N25,N25-H26_O89,O1-H123_O87
md_410k_snap_80.com	-800.5828902763774	0	5	N120-H122_O28,N19-H130_N115
md_410k_snap_68.com	-797.6920454501704	0	9	N120-H122_O28,N19-H130_N115,N19-H130_O119,O1-H123_O87
md_610k_snap_51.com	-795.5446790837314	0	40	N120-H122_O28,N19-H130_N115,N83-H88_N115,O1-H123_O119,O112-H129_O110,O48-H127_O79
md_410k_snap_79.com	-802.8425210290021	0	46	N120-H122_O28,N19-H130_N115,N83-H88_O119,O1-H123_O47
md_610k_snap_45.com	-799.0145587678766	0	47	N120-H122_O28,N19-H130_N115,N83-H88_O119,O1-H123_O48,O110-H126_O112,O48-H127_O79
md_610k_snap_44.com	-799.0114034502648	0	47	N120-H122_O28,N19-H130_N115,N83-H88_O119,O1-H123_O48,O110-H126_O112,O48-H127_O79
md_610k_snap_48.com	-798.1075687163524	0	48	N120-H122_O28,N19-H130_N115,N83-H88_O119,O1-H123_O48,O112-H129_O110,O48-H127_O79
md_610k_snap_47.com	-797.8113419525389	0	48	N120-H122_O28,N19-H130_N115,N83-H88_O119,O1-H123_O48,O112-H129_O110,O48-H127_O79
md_610k_snap_46.com	-797.6933792810462	0	48	N120-H122_O28,N19-H130_N115,N83-H88_O119,O1-H123_O48,O112-H129_O110,O48-H127_O79
md_610k_snap_50.com	-796.5038815560818	0	49	N120-H122_O28,N19-H130_N115,N83-H88_O119,O112-H129_O110,O48-H127_O79
md_610k_snap_49.com	-796.4560959542185	0	49	N120-H122_O28,N19-H130_N115,N83-H88_O119,O112-H129_O110,O48-H127_O79
md_410k_snap_76.com	-804.2931968174815	0	53	N120-H122_O28,N19-H130_N115,O1-H123_O47
md_410k_snap_77.com	-803.7008596398983	0	53	N120-H122_O28,N19-H130_N115,O1-H123_O47
md_410k_snap_78.com	-802.483267980458	0	53	N120-H122_O28,N19-H130_N115,O1-H123_O47
md_410k_snap_60.com	-797.5979816696263	0	75	N19-H130_N115,N83-H88_O1,O1-H123_O119
md_410k_snap_61.com	-795.396318589491	0	75	N19-H130_N115,N83-H88_O1,O1-H123_O119
md_410k_snap_54.com	-795.8435696414585	0	76	N19-H130_N115,N83-H88_O1,O1-H123_O47
md_410k_snap_66.com	-796.2606279163923	0	82	N19-H130_O119,N83-H88_N115,O1-H123_O87
md_410k_snap_53.com	-795.9499584603496	0	83	N19-H130_O119,N83-H88_O1,O1-H123_O47
md_410k_snap_55.com	-795.8631041098195	0	83	N19-H130_O119,N83-H88_O1,O1-H123_O47
md_410k_snap_57.com	-795.5136240869934	0	83	N19-H130_O119,N83-H88_O1,O1-H123_O47
md_410k_snap_72.com	-793.346723872254	0	89	N25-H26_O89,N83-H88_N115,O1-H123_O47,O1-H123_O87
md_610k_snap_52.com	-788.5237346334301	0	95	N83-H88_N115,O1-H123_N115,O1-H123_O119,O112-H129_O110,O48-H127_O79
md_410k_snap_73.com	-794.545486261314	0	98	N83-H88_N115,O1-H123_O47
md_410k_snap_74.com	-794.5398754545479	0	98	N83-H88_N115,O1-H123_O47
md_410k_snap_75.com	-794.2480066966592	0	98	N83-H88_N115,O1-H123_O47
md_410k_snap_65.com	-794.3482885981344	0	99	N83-H88_N115,O1-H123_O87
md_410k_snap_64.com	-794.0996100651056	0	99	N83-H88_N115,O1-H123_O87
md_410k_snap_59.com	-797.6581849126312	0	100	N83-H88_O1
md_410k_snap_58.com	-796.4114402354567	0	100	N83-H88_O1
md_410k_snap_63.com	-790.4898702553339	0	101	N83-H88_O1,O1-H123_N115,O1-H123_O119
md_410k_snap_67.com	-796.6584568590258	0	119	O1-H123_O87
md_410k_snap_62.com	-792.7144775039574	0	119	O1-H123_O87
md_610k_snap_193.com	-821.1666943167612	1	8	N120-H122_O28,N19-H130_N115,N19-H130_O119,N54-H131_O89,O1-H123_O47,O112-H129_O102,O112-H129_O119,O48-H127_O87
